["OBSERVED": Code,Name,DisplayName,ShortName,XGeoLocation,YGeoLocation,Country,CountryGMT,HeightAboveSea,Parameters,Description]
AT0002R;Illmitz;Illmitz;Illm;16.7667;47.7667;Italy;GMT;117.000;Descr of: Illmitz;PM10*PM25
AT0ILL1;Illmitz2;Illmitz2;Ill2;16.7664;47.7700;Italy;GMT;117.000;Descr of: Illmitz2;O3*PM10*PM25*NO2*WS*TEMP
AT0PIL1;PillersdorfbeiRetz;PillersdorfbeiRetz;Pill;15.9422;48.7211;Italy;GMT;315.000;Descr of: PillersdorfbeiRetz;O3*PM10*NO2*WS*TEMP
AT0ZIL1;RiedimZillertal;RiedimZillertal;Ried;11.8639;47.3067;Italy;GMT;555.000;Descr of: RiedimZillertal;O3*PM10*NO2
AT10001;EisenstadtLaschoberstraae;EisenstadtLaschoberstraae;Eise;16.5267;47.8400;Italy;GMT;160.000;Descr of: EisenstadtLaschoberstraae;O3*PM10*NO2*WS*TEMP
AT30065;Purkersdorf;Purkersdorf;Purk;16.1756;48.2072;Italy;GMT;248.000;Descr of: Purkersdorf;O3*PM10*NO2*WS*TEMP
AT30201;BadVaslauGainfarn;BadVaslauGainfarn;BadV;16.2070;47.9600;Italy;GMT;286.000;Descr of: BadVaslauGainfarn;O3*PM10*NO2*WS*TEMP
AT30202;ForsthofamSchapfl;ForsthofamSchapfl;Fors;15.9194;48.1061;Italy;GMT;581.000;Descr of: ForsthofamSchapfl;O3*PM10*NO2
AT30301;Hainburg;Hainburg;Hain;16.9611;48.1439;Italy;GMT;165.000;Descr of: Hainburg;O3*PM10*NO2
AT30302;Stixneusiedl;Stixneusiedl;Stix;16.6767;48.0508;Italy;GMT;210.000;Descr of: Stixneusiedl;O3*PM10*PM25*NO2*WS*TEMP
AT30401;Ganserndorf;Ganserndorf;Gans;16.7306;48.3347;Italy;GMT;161.000;Descr of: Ganserndorf;O3*PM10*NO2
AT30403;Wolkersdorf;Wolkersdorf;Wolk;16.5222;48.3922;Italy;GMT;190.000;Descr of: Wolkersdorf;O3*PM10*NO2
AT30407;GroaenzersdorfGlinzendorf;GroaenzersdorfGlinzendorf;Groa;16.6369;48.2367;Italy;GMT;150.000;Descr of: GroaenzersdorfGlinzendorf;PM10*NO2*WS*TEMP
AT30502;HeidenreichsteinThaures;HeidenreichsteinThaures;Heid;15.0467;48.8786;Italy;GMT;560.000;Descr of: HeidenreichsteinThaures;O3*PM10*NO2*WS*TEMP
AT30599;KlosterneuburgB14;KlosterneuburgB14;Klos;16.3264;48.3069;Italy;GMT;192.000;Descr of: KlosterneuburgB14;PM10*NO2*WS*TEMP
AT30601;KlosterneuburgWiesentgasse;KlosterneuburgWiesentgasse;Klos;16.3047;48.3014;Italy;GMT;200.000;Descr of: KlosterneuburgWiesentgasse;O3*PM10*NO2*WS*TEMP
AT30603;Himberg;Himberg;Himb;16.4333;48.0861;Italy;GMT;172.000;Descr of: Himberg;O3*PM10*WS*TEMP
AT30701;Ziersdorf;Ziersdorf;Zier;15.9428;48.5289;Italy;GMT;230.000;Descr of: Ziersdorf;O3*PM10
AT30801;Irnfritz;Irnfritz;Irnf;15.5003;48.7244;Italy;GMT;556.000;Descr of: Irnfritz;O3*WS*TEMP
AT31102;AnnabergJoachimsberg;AnnabergJoachimsberg;Anna;15.3219;47.8553;Italy;GMT;891.000;Descr of: AnnabergJoachimsberg;O3
AT31204;Pachlarn;Pachlarn;Pach;15.2072;48.2131;Italy;GMT;216.000;Descr of: Pachlarn;O3*PM10*NO2
AT31301;Mistelbach;Mistelbach;Mist;16.5806;48.5786;Italy;GMT;250.000;Descr of: Mistelbach;O3*PM10*WS*TEMP
AT31401;Madling;Madling;Madl;16.3022;48.0861;Italy;GMT;210.000;Descr of: Madling;O3*PM10*NO2*WS*TEMP
